Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
2/7,Notre Dame,MBB,Overpass,Pregame,,,0-0,N
,,,About Damn Time,Pregame,,,0-0,N
,,,Animal,Pregame,,,0-0,N
,,,Vehicle,Pregame,,,0-0,N
,,,Potential Breakup Song,Pregame,,,0-0,N
,,,Love from the Other Side,Pregame,,,0-0,N
,,,Can't,Pregame,,,0-0,N
,,,Ms. Jackson,Pregame,,,0-0,N
,,,Blue & White,Pregame,,,0-0,N
,,,That's What I Want,Pregame,,,0-0,N
,,,Can't,Pregame,,,0-0,N
,,,Zing It!,Pregame,,,0-0,N
,,,Devil,Pregame,,,0-0,N
,,,Mortal,Pregame,,,0-0,N
,,,Fight Fight,1H,<16:00,15:19,9-5,N
,,,Blue & White,1H,<16:00,15:19,9-5,N
,,,Fire,1H,<16:00,15:19,9-5,N
,,,Runaway Baby,1H,<12:00,11:40,15-5,Y
,,,Dance the Night,1H,<8:00,8:00,22-13,Y
,,,Spell,1H,<4:00,3:36,26-17,N
,,,Sail,1H,<4:00,3:36,26-17,N
,,,Wipeout,2H,<16:00,14:47,44-33,N
,,,D. Ditty,2H,<16:00,14:47,44-33,N
,,,Chameleon,2H,<12:00,11:52,52-39,N
,,,Uma Thurman,2H,<8:00,9:34,56-41,Y
,,,Zing It!,2H,<8:00,7:54,59-41,N
,,,T. gogo,2H,<8:00,7:54,59-41,N
,,,Everytime,2H,<4:00,3:25,65-49,N
,,,Pumpkin,2H,<4:00,3:25,65-49,N
,,,Devil,Postgame,,,71-53,N
,,,Dear Old Duke,Postgame,,,71-53,N
2/8,Wake Forest,WBB,Uma Thurman,Pregame,,,0-0,N
,,,DJamite,Pregame,,,0-0,N
,,,That That,Pregame,,,0-0,N
,,,Lucky Strike,Pregame,,,0-0,N
,,,Can't,Pregame,,,0-0,N
,,,Love from the Other Side,Pregame,,,0-0,N
,,,Devil,Pregame,,,0-0,N
,,,Mortal,Pregame,,,0-0,Y
,,,Fight Fight,1Q,<5:00,4:20,4-5,Y
