Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
2/7,Notre Dame,MBB,Overpass,Pregame,n/a,n/a,0-0,N
,,,About Damn Time,Pregame,n/a,n/a,0-0,N
,,,Animal,Pregame,n/a,n/a,0-0,N
,,,Vehicle,Pregame,n/a,n/a,0-0,N
,,,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
,,,Love from the Other Side,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Ms. Jackson,Pregame,n/a,n/a,0-0,N
,,,Blue & White,Pregame,n/a,n/a,0-0,N
,,,That's What I Want,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Zing It!,Pregame,n/a,n/a,0-0,N
,,,Devil,Pregame,n/a,n/a,0-0,N
,,,Mortal,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,<16:00,15:19,9-5,N
,,,Blue & White,1H,<16:00,15:19,9-5,N
,,,Fire,1H,<16:00,15:19,9-5,N
,,,Runaway Baby,1H,<12:00,11:40,15-5,Y
,,,Dance the Night,1H,<8:00,8:00,22-13,Y
,,,Spell,1H,<4:00,3:36,26-17,N
,,,Sail,1H,<4:00,3:36,26-17,N
,,,Wipeout,2H,<16:00,14:47,44-33,N
,,,D. Ditty,2H,<16:00,14:47,44-33,N
,,,Chameleon,2H,<12:00,11:52,52-39,N
,,,Uma Thurman,2H,<8:00,9:34,56-41,Y
,,,Zing It!,2H,<8:00,7:54,59-41,N
,,,T. gogo,2H,<8:00,7:54,59-41,N
,,,Everytime,2H,<4:00,3:25,65-49,N
,,,Pumpkin,2H,<4:00,3:25,65-49,N
,,,Devil,Postgame,n/a,n/a,71-53,N
,,,Dear Old Duke,Postgame,n/a,n/a,71-53,N
2/8,Wake Forest,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
,,,DJamite,Pregame,n/a,n/a,0-0,N
,,,That That,Pregame,n/a,n/a,0-0,N
,,,Lucky Strike,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Love from the Other Side,Pregame,n/a,n/a,0-0,N
,,,Devil,Pregame,n/a,n/a,0-0,N
,,,Mortal,Pregame,n/a,n/a,0-0,Y
,,,Fight Fight,1Q,<5:00,4:20,4-5,Y
,,,Runaway Baby,1Q-2Q Break,n/a,n/a,6-19,Y
,,,Spell,2Q,<5:00,2:53,15-25,N
,,,Blue & White,Halftime,n/a,n/a,20-27,N
,,,Can't,Halftime,n/a,n/a,20-27,N
,,,About Damn Time,Halftime,n/a,n/a,20-27,N
,,,That's What I Want,3Q,n/a,7:25,26-27,N
,,,Zing It!,3Q,<5:00,4:33,32-30,N
,,,T. gogo,3Q,<5:00,4:33,32-30,N
,,,Sucker,3Q-4Q Break,n/a,n/a,45-32,N
,,,Everytime,4Q,<5:00,6:40,53-36,N
,,,Pumpkin,4Q,<5:00,6:40,53-36,N
,,,Devil,Postgame,n/a,n/a,69-46,N
,,,Dear Old Duke,Postgame,n/a,n/a,69-46,N
2/10,Boston College,MBB,Somebody Told Me,Pregame,n/a,n/a,0-0,N
,,,Stacy's Mom,Pregame,n/a,n/a,0-0,N
,,,Fat,Pregame,n/a,n/a,0-0,N
,,,Scream,Pregame,n/a,n/a,0-0,N
,,,good 4 business,Pregame,n/a,n/a,0-0,N
,,,Blue & White,Pregame,n/a,n/a,0-0,N
,,,Igor's Theme,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Sucker,Pregame,n/a,n/a,0-0,N
,,,Love Runs Out,Pregame,n/a,n/a,0-0,Y
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Zing It!,Pregame,n/a,n/a,0-0,N
,,,Devil,Pregame,n/a,n/a,0-0,N
,,,Mortal,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,<16:00,14:16,14-9,N
,,,Blue & White,1H,<16:00,14:16,14-9,N
,,,Potential Breakup Song,1H,<12:00,12:00,16-11,N
,,,That's What I Want,1H,<8:00,6:26,25-22,Y
,,,Spell,1H,<4:00,3:33,27-28,N
,,,Blue & White,Halftime,n/a,n/a,36-32,N
,,,Can't,Halftime,n/a,n/a,36-32,N
,,,Dance the Night,Halftime,n/a,n/a,36-32,N
,,,Zing It!,2H,n/a,12:28,56-43,N
,,,D. Ditty,2H,n/a,12:28,56-43,N
,,,Sail,2H,<12:00,11:30,56-43,N
,,,Wipeout,2H,<8:00,7:31,65-51,N
,,,Everytime,2H,<4:00,2:06,73-61,N
,,,Pumpkin,2H,<4:00,2:06,73-61,N
,,,Devil,Postgame,n/a,n/a,80-65,N
,,,Dear Old Duke,Postgame,n/a,n/a,80-65,N
2/11,UNC,WBB,Dance the Night,Pregame,n/a,n/a,0-0,N
,,,That That,Pregame,n/a,n/a,0-0,N
,,,Raise Your Glass,Pregame,n/a,n/a,0-0,N
,,,Uma Thurman,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,DJamite,Pregame,n/a,n/a,0-0,N
,,,Somebody Told Me,Pregame,n/a,n/a,0-0,N
,,,Zing It!,Pregame,n/a,n/a,0-0,N
,,,Devil,Pregame,n/a,n/a,0-0,N
,,,Mortal,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1Q,<5:00,4:56,4-11,Y
,,,Lucky Strike,1Q-2Q Break,n/a,n/a,12-13,Y
,,,Can't,Halftime,n/a,n/a,25-26,N
,,,Love from the Other Side,3Q,<5:00,4:07,27-37,Y
,,,Wipeout,3Q-4Q Break,n/a,n/a,34-46,Y
,,,Zing It!,4Q,n/a,6:28,40-46,Y
,,,Everytime,4Q,<5:00,4:05,45-48,Y
,,,Sail,4Q,n/a,1:32,53-53,N
,,,Fight Fight,1OT Break,n/a,n/a,53-53,N
,,,Blue & White,1OT Break,n/a,n/a,53-53,N
,,,Devil,1OT,n/a,n/a,n/a,N
,,,Zing It!,1OT,n/a,n/a,n/a,N
,,,That's What I Want,1OT,n/a,n/a,n/a,N
,,,Devil,Postgame,n/a,n/a,68-60,N
,,,Dear Old Duke,Postgame,n/a,n/a,68-60,N
2/19,Notre Dame,WBB,That That,Pregame,n/a,n/a,0-0,N
,,,Uma Thurman,Pregame,n/a,n/a,0-0,N
,,,Scream,Pregame,n/a,n/a,0-0,N
,,,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
