Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
3/7,Georgia Tech,WBB,Scream,Pregame,n/a,n/a,0-0,N
,,,Overpass,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,That That,Pregame,n/a,n/a,0-0,Y
,,,Uma Thurman,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,Pregame,n/a,n/a,0-0,N
,,,The Star-Spangled Banner,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1Q,<5:00,4:52,6-6,Y
,,,Love from the Other Side,2Q,n/a,8:23,17-16,N
,,,Fight Fight,2Q,n/a,8:23,17-16,Y
,,,Crazy in Love,2Q,<5:00,3:44,28-20,N
,,,Blue & White,Halftime,n/a,n/a,38-26,N
,,,Can't,Halftime,n/a,n/a,38-26,N
,,,Dance the Night,Halftime,n/a,n/a,38-26,N
,,,That's What I Want,Halftime,n/a,n/a,38-26,N
,,,Devil,Halftime,n/a,n/a,38-26,N
,,,Runaway Baby,3Q-4Q Break,n/a,n/a,56-43,N
,,,Zing It!,3Q-4Q Break,n/a,n/a,56-43,N
,,,Raise Your Glass,4Q,<5:00,1:06,68-56,Y
,,,Devil,Postgame,n/a,n/a,70-58,N
3/9,UNC,MBB,Vehicle,Pregame,n/a,n/a,0-0,N
,,,Break Your Heart,Pregame,n/a,n/a,0-0,N
,,,Get It On,Pregame,n/a,n/a,0-0,N
,,,Runaway Baby,Pregame,n/a,n/a,0-0,N
,,,Rock Lobster,Pregame,n/a,n/a,0-0,N
,,,good 4 business,Pregame,n/a,n/a,0-0,N
,,,Stacy's Mom,Pregame,n/a,n/a,0-0,N
,,,About Damn Time,Pregame,n/a,n/a,0-0,N
,,,Fat,Pregame,n/a,n/a,0-0,N
,,,Love Runs Out,Pregame,n/a,n/a,0-0,N
,,,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
,,,Lucky Strike,Pregame,n/a,n/a,0-0,N
,,,Blue & White,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Dance the Night,Pregame,n/a,n/a,0-0,N
,,,Blue & White,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Zing It!,Pregame,n/a,n/a,0-0,N
,,,Mortal,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,n/a,16:27,4-15,N
,,,Blue & White,1H,n/a,16:27,4-15,N
,,,That's What I Want,1H,<12:00,11:49,8-21,N
,,,Spell,1H,<8:00,7:48,15-30,N
,,,Blue & White,Halftime,n/a,n/a,31-40,N
,,,Raise Your Glass,Halftime,n/a,n/a,31-40,N
,,,Can't,Halftime,n/a,n/a,31-40,N
,,,Wipeout,2H,<16:00,15:31,42-45,N
,,,D. Ditty,2H,<16:00,15:31,42-45,N
,,,Overpass,2H,<12:00,11:41,46-53,Y
,,,Zing It!,2H,<8:00,7:15,55-65,Y
,,,Everytime,2H,<4:00,2:09,69-75,N
,,,Pumpkin,2H,<4:00,2:09,69-75,N
,,,Fight Fight,2H,n/a,0:05,79-82,N
,,,Blue & White,2H,n/a,0:05,79-82,N
,,,Blue & White,Postgame,n/a,n/a,79-84,N
,,,Dear Old Duke,Postgame,n/a,n/a,79-84,N
3/14,NC State,MBB,Fight Fight,1H,<16:00,15:01,4-7,N
,,,Blue & White,1H,<16:00,15:01,4-7,N
,,,Devil,1H,<8:00,6:50,22-24,N
,,,Overpass,1H,<8:00,6:50,22-24,Y
,,,Blue & White,Halftime,n/a,n/a,32-35,N
,,,Can't,Halftime,n/a,n/a,32-35,N
,,,Love from the Other Side,Halftime,n/a,n/a,32-35,Y
,,,That's What I Want,2H,n/a,17:07,32-41,N
,,,Fight Fight,2H,n/a,17:07,32-41,N
,,,Runaway Baby,2H,<12:00,12:00,46-50,N
,,,Zing It!,2H,<12:00,12:00,46-50,N
,,,Everytime,2H,<4:00,3:11,61-67,N
,,,Pumpkin,2H,<4:00,3:11,61-67,N
,,,Blue & White,2H,<4:00,3:11,61-67,N
,,,Fight Fight,2H,n/a,0:15,69-73,N
,,,Blue & White,2H,n/a,0:15,69-73,N
,,,Blue & White,Postgame,n/a,n/a,69-74,N
3/22,Vermont,MBB,Overpass,Pregame,n/a,n/a,0-0,Y
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Scream,Pregame,n/a,n/a,0-0,N
,,,Dance the Night,Pregame,n/a,n/a,0-0,N
,,,good 4 business,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,<16:00,15:05,9-10,N
,,,Blue & White,1H,<16:00,15:05,9-10,N
,,,Industry Baby,1H,<16:00,15:05,9-10,N
,,,Zing It!,1H,<8:00,7:38,26-16,N
,,,That's What I Want,1H,<8:00,7:38,26-16,Y
,,,Can't,Halftime,n/a,n/a,34-29,N
,,,Devil,2H,<12:00,12:00,42-37,N
,,,Love from the Other Side,2H,<12:00,12:00,42-37,N
,,,Everytime,2H,<8:00,5:03,53-44,Y
,,,Devil,Postgame,n/a,n/a,64-47,N
3/24,JMU,MBB,Can't,Pregame,n/a,n/a,0-0,N
,,,Overpass,Pregame,n/a,n/a,0-0,N
,,,Vehicle,Pregame,n/a,n/a,0-0,N
,,,The Star-Spangled Banner,Pregame,n/a,n/a,0-0,N
,,,good 4 business,Pregame,n/a,n/a,0-0,N
,,,Can't,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,<16:00,15:10,12-4,N
,,,Blue & White,1H,<16:00,15:10,12-4,Y
,,,Zing It!,1H,<8:00,6:39,31-17,N
,,,Dance the Night,1H,<8:00,6:39,31-17,Y
,,,Blue & White,Halftime,n/a,n/a,47-25,N
,,,Runaway Baby,Halftime,n/a,n/a,47-25,N
,,,That's What I Want,Halftime,n/a,n/a,47-25,N
,,,Can't,Halftime,n/a,n/a,47-25,N
,,,Devil,2H,<12:00,10:59,68-41,N
,,,Uma Thurman,2H,<12:00,10:59,68-41,Y
,,,Everytime,2H,<4:00,3:32,90-53,N
,,,Pumpkin,2H,<4:00,3:32,90-53,N
,,,Devil,Postgame,n/a,n/a,93-55,N
3/29,Houston,MBB,Can't,Pregame,n/a,n/a,0-0,N
,,,Fight Fight,1H,<12:00,11:28,7-10,N
,,,Blue & White,1H,<12:00,11:28,7-10,N
,,,Overpass,1H,<12:00,11:28,7-10,Y
,,,Zing It!,1H,<4:00,4:00,17-18,N
,,,Blue & White,Halftime,n/a,n/a,23-22,N
,,,Can't,Halftime,n/a,n/a,23-22,N
,,,Devil,2H,<16:00,15:08,32-32,N
,,,Everytime,2H,<8:00,7:26,45-42,N
,,,Love from the Other Side,2H,<8:00,7:26,45-42,Y
,,,Sail,2H,n/a,1:13,54-48,N
,,,Devil,Postgame,n/a,n/a,54-51,N
,,,Dear Old Duke,Postgame,n/a,n/a,54-51,N
3/31,NC State,MBB,Can't,Pregame,n/a,n/a,0-0,N
