Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
04/20/24,Duke,FB,Fight Fight,Pregame,n/a,n/a,0-0,Y
04/20/24,Duke,FB,Blue & White,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Dance the Night,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Uma Thurman,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Lucky Strike,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Runaway Baby,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Raise Your Glass,Pregame,n/a,n/a,0-0,N
04/20/24,Duke,FB,Overpass,Pregame,n/a,n/a,0-0,Y
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,13:50,0-2,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,13:04,0-2,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,12:21,0-2,N
04/20/24,Duke,FB,Scream,2Q,n/a,11:56,0-5,Y
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,9:21,0-5,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,8:23,0-5,N
04/20/24,Duke,FB,Zing It!,2Q,n/a,6:50,0-5,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,6:16,0-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,5:27,0-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,4:33,0-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,3:03,0-8,N
04/20/24,Duke,FB,Industry Baby,2Q,n/a,1:58,0-8,N
04/20/24,Duke,FB,Blue & White,2Q,n/a,1:55,3-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,1:38,3-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,1:11,3-8,N
04/20/24,Duke,FB,Fight Fight (Intro),2Q,n/a,0:52,3-11,N
04/20/24,Duke,FB,Blue & White,Halftime,n/a,n/a,3-14,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,14:00,3-14,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,12:36,3-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,11:41,3-17,N
04/20/24,Duke,FB,Blue & White,4Q,n/a,11:05,6-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,10:38,6-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,10:13,6-17,N
04/20/24,Duke,FB,The Whip,4Q,n/a,8:19,12-17,N
04/20/24,Duke,FB,Blue & White,4Q,n/a,8:19,13-17,N
04/20/24,Duke,FB,That's What I Want,4Q,n/a,8:19,13-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,8:03,13-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,7:33,13-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,5:22,13-17,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,4:34,13-17,N
04/20/24,Duke,FB,Devil,4Q,n/a,3:38,13-23,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,2:00,13-23,N
04/20/24,Duke,FB,Love from the Other Side,4Q,n/a,2:00,13-23,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,1:06,13-24,N
04/20/24,Duke,FB,Fight Fight (Intro),4Q,n/a,0:18,13-24,N
04/20/24,Duke,FB,Blue & White,4Q,n/a,0:03,13-24,N
04/20/24,Duke,FB,Devil,Postgame,n/a,n/a,13-24,N
