Date,Event,Song,Early? (Y/N)
03/09/24,ESPN College GameDay,Dance the Night,N
03/09/24,ESPN College GameDay,Fight Fight,N
03/09/24,ESPN College GameDay,Blue & White,N
03/09/24,ESPN College GameDay,Sail,N
03/09/24,ESPN College GameDay,Uma Thurman,N
03/09/24,ESPN College GameDay,Love from the Other Side,N
03/09/24,ESPN College GameDay,Zing It!,Y
03/09/24,ESPN College GameDay,That's What I Want,N
03/09/24,ESPN College GameDay,That That,N
03/09/24,ESPN College GameDay,Scream,Y
03/09/24,ESPN College GameDay,Everytime,N
03/09/24,ESPN College GameDay,Fight Fight,N
03/09/24,ESPN College GameDay,Blue & White,Y
04/12/24,Bricks to Stone,Fight Fight,N
04/12/24,Bricks to Stone,Blue & White,N
04/12/24,Bricks to Stone,Dance the Night,N
04/18/24,Blue Devil Days,Fight Fight,N
04/18/24,Blue Devil Days,Blue & White,N
04/18/24,Blue Devil Days,Zing It!,N
04/18/24,Blue Devil Days,Uma Thurman,N
04/19/24,Blue Devil Days,Fight Fight,N
04/19/24,Blue Devil Days,Blue & White,N
04/19/24,Blue Devil Days,Dance the Night,N
04/19/24,Blue Devil Days,That's What I Want,N
04/22/24,Blue Devil Days,Fight Fight,N
04/22/24,Blue Devil Days,Blue & White,N
04/22/24,Blue Devil Days,Dance the Night,N
04/22/24,Blue Devil Days,That's What I Want,N
04/24/24,Roving Band,Stacy's Mom,N
04/24/24,Roving Band,Rock Lobster,N
04/24/24,Roving Band,Runaway Baby,N
04/24/24,Roving Band,That's What I Want,N
04/24/24,Roving Band,Pompeii,N
04/24/24,Roving Band,Lucky Strike,N
04/24/24,Roving Band,Vehicle,N
04/24/24,Roving Band,Fight Fight,N
04/24/24,Roving Band,Blue & White,N
04/24/24,Roving Band,Everytime,N
04/24/24,Roving Band,Pumpkin,N
04/24/24,Roving Band,Dance the Night,N
04/27/24,Lake Wheeler Invitational,Fight Fight,N
04/27/24,Lake Wheeler Invitational,Blue & White,N
04/27/24,Lake Wheeler Invitational,Dance the Night,N
04/27/24,Lake Wheeler Invitational,Fight Fight,N
04/27/24,Lake Wheeler Invitational,Blue & White,N
04/27/24,Lake Wheeler Invitational,Zing It!,Y
04/27/24,Lake Wheeler Invitational,That's What I Want,N
04/27/24,Lake Wheeler Invitational,Fight Fight,N
04/27/24,Lake Wheeler Invitational,Blue & White,Y
