Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
03/07/24,Georgia Tech,WBB,Scream,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,Overpass,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,Can't,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,That That,Pregame,n/a,n/a,0-0,Y
03/07/24,Georgia Tech,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,Fight Fight,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,The Star-Spangled Banner,Pregame,n/a,n/a,0-0,N
03/07/24,Georgia Tech,WBB,Fight Fight,1Q,<5:00,4:52,6-6,Y
03/07/24,Georgia Tech,WBB,Love from the Other Side,2Q,n/a,8:23,17-16,N
03/07/24,Georgia Tech,WBB,Fight Fight,2Q,n/a,8:23,17-16,Y
03/07/24,Georgia Tech,WBB,Crazy in Love,2Q,<5:00,3:44,28-20,N
03/07/24,Georgia Tech,WBB,Blue & White,Halftime,n/a,n/a,38-26,N
03/07/24,Georgia Tech,WBB,Can't,Halftime,n/a,n/a,38-26,N
03/07/24,Georgia Tech,WBB,Dance the Night,Halftime,n/a,n/a,38-26,N
03/07/24,Georgia Tech,WBB,That's What I Want,Halftime,n/a,n/a,38-26,N
03/07/24,Georgia Tech,WBB,Devil,Halftime,n/a,n/a,38-26,N
03/07/24,Georgia Tech,WBB,Runaway Baby,3Q-4Q Break,n/a,n/a,56-43,N
03/07/24,Georgia Tech,WBB,Zing It!,3Q-4Q Break,n/a,n/a,56-43,N
03/07/24,Georgia Tech,WBB,Raise Your Glass,4Q,<5:00,1:06,68-56,Y
03/07/24,Georgia Tech,WBB,Devil,Postgame,n/a,n/a,70-58,N
03/09/24,UNC,MBB,Vehicle,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Break Your Heart,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Get It On,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Rock Lobster,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,good 4 business,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Stacy's Mom,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,About Damn Time,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Fat,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
03/09/24,UNC,MBB,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
