Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
02/07/24,Notre Dame,MBB,T. gogo,2H,<8:00,7:54,59-41,N,
02/07/24,Notre Dame,MBB,Devil,Postgame,,,71-53,N,
02/07/24,Notre Dame,MBB,Pumpkin,2H,<4:00,3:25,65-49,N,
02/07/24,Notre Dame,MBB,Everytime,2H,<4:00,3:25,65-49,N,
02/07/24,Notre Dame,MBB,Zing It!,2H,<8:00,7:54,59-41,N,
02/07/24,Notre Dame,MBB,Uma Thurman,2H,<8:00,9:34,56-41,Y,
02/07/24,Notre Dame,MBB,Chameleon,2H,<12:00,11:52,52-39,N,
02/07/24,Notre Dame,MBB,D. Ditty,2H,<16:00,14:47,44-33,N,
02/07/24,Notre Dame,MBB,Wipeout,2H,<16:00,14:47,44-33,N,
02/07/24,Notre Dame,MBB,Sail,1H,<4:00,3:36,26-17,N,
02/07/24,Notre Dame,MBB,Spell,1H,<4:00,3:36,26-17,N,
02/07/24,Notre Dame,MBB,Dance the Night,1H,<8:00,8:00,22-13,Y,
02/07/24,Notre Dame,MBB,Runaway Baby,1H,<12:00,11:40,15-5,Y,
02/07/24,Notre Dame,MBB,Fire,1H,<16:00,15:19,9-5,N,
02/07/24,Notre Dame,MBB,Blue & White,1H,<16:00,15:19,9-5,N,
02/07/24,Notre Dame,MBB,Fight Fight,1H,<16:00,15:19,9-5,N,
02/07/24,Notre Dame,MBB,Mortal,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Devil,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Zing It!,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Can't,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,That's What I Want,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Blue & White,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Ms. Jackson,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Can't,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Love from the Other Side,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Potential Breakup Song,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Overpass,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,About Damn Time,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Dear Old Duke,Postgame,,,71-53,N,
02/07/24,Notre Dame,MBB,Animal,Pregame,,,0-0,N,
02/07/24,Notre Dame,MBB,Vehicle,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Sucker,3Q-4Q Break,,,45-32,N,
02/08/24,Wake Forest,WBB,Dear Old Duke,Postgame,,,69-46,N,
02/08/24,Wake Forest,WBB,Devil,Postgame,,,69-46,N,
02/08/24,Wake Forest,WBB,Pumpkin,4Q,<5:00,6:40,53-36,N,
02/08/24,Wake Forest,WBB,Everytime,4Q,<5:00,6:40,53-36,N,
02/08/24,Wake Forest,WBB,T. gogo,3Q,<5:00,4:33,32-30,N,
02/08/24,Wake Forest,WBB,Zing It!,3Q,<5:00,4:33,32-30,N,
02/08/24,Wake Forest,WBB,That's What I Want,3Q,,7:25,26-27,N,
02/08/24,Wake Forest,WBB,About Damn Time,Halftime,,,20-27,N,
02/08/24,Wake Forest,WBB,Blue & White,Halftime,,,20-27,N,
02/08/24,Wake Forest,WBB,Spell,2Q,<5:00,2:53,15-25,N,
02/08/24,Wake Forest,WBB,Can't,Halftime,,,20-27,N,
02/08/24,Wake Forest,WBB,Fight Fight,1Q,<5:00,4:20,4-5,Y,
02/08/24,Wake Forest,WBB,Mortal,Pregame,,,0-0,Y,
02/08/24,Wake Forest,WBB,Devil,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Love from the Other Side,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Can't,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Lucky Strike,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,That That,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,DJamite,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Uma Thurman,Pregame,,,0-0,N,
02/08/24,Wake Forest,WBB,Runaway Baby,1Q-2Q Break,,,6-19,Y,
02/10/24,Boston College,MBB,Dance the Night,Halftime,,,36-32,N,
02/10/24,Boston College,MBB,That's What I Want,1H,<8:00,6:26,25-22,Y,
02/10/24,Boston College,MBB,Spell,1H,<4:00,3:33,27-28,N,
02/10/24,Boston College,MBB,Blue & White,Halftime,,,36-32,N,
02/10/24,Boston College,MBB,Can't,Halftime,,,36-32,N,
02/10/24,Boston College,MBB,Zing It!,2H,,12:28,56-43,N,
02/10/24,Boston College,MBB,Everytime,2H,<4:00,2:06,73-61,N,
02/10/24,Boston College,MBB,Sail,2H,<12:00,11:30,56-43,N,
02/10/24,Boston College,MBB,Wipeout,2H,<8:00,7:31,65-51,N,
02/10/24,Boston College,MBB,Pumpkin,2H,<4:00,2:06,73-61,N,
02/10/24,Boston College,MBB,Devil,Postgame,,,80-65,N,
02/10/24,Boston College,MBB,Dear Old Duke,Postgame,,,80-65,N,
02/10/24,Boston College,MBB,Potential Breakup Song,1H,<12:00,12:00,16-11,N,
02/10/24,Boston College,MBB,D. Ditty,2H,,12:28,56-43,N,
