Date,Opponent,Type,Song,Period,Time,Score (Duke-Opponent),Early? (Y/N)
08/30/24,Elon,FB,Fight Fight,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Blue & White,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Zing It!,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Elon University Fight Song,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Devil,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Star Spangled Banner,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Dear Old Duke,Pregame,n/a,0-0,N
08/30/24,Elon,FB,The Whip,Pregame,n/a,0-0,N
08/30/24,Elon,FB,Fight Fight (Intro),1Q,9:38,0-0,N
08/30/24,Elon,FB,Blue & White,1Q,8:09,3-0,N
08/30/24,Elon,FB,Dance the Night,1Q,5:30,3-0,Y
08/30/24,Elon,FB,Fight Fight (Intro),1Q,4:59,3-0,N
08/30/24,Elon,FB,Overpass,1Q,3:28,3-0,Y
08/30/24,Elon,FB,Devil,2Q,8:32,3-0,N
08/30/24,Elon,FB,Fight Fight (Intro),2Q,8:15,3-0,N
08/30/24,Elon,FB,Freedom,Halftime,n/a,10-0,N
08/30/24,Elon,FB,Please Please Please,Halftime,n/a,10-0,N
08/30/24,Elon,FB,Fight Fight (Post-Intro),Halftime,n/a,10-0,N
08/30/24,Elon,FB,Fight Fight (Intro),3Q,14:30,10-0,N
08/30/24,Elon,FB,Fight Fight (Intro),3Q,13:47,10-0,N
08/30/24,Elon,FB,Fight Fight (Intro),3Q,13:00,10-0,N
08/30/24,Elon,FB,Blue & White,3Q,11:42,13-0,N
08/30/24,Elon,FB,Uma Thurman,3Q,8:45,13-0,Y
08/30/24,Elon,FB,The Whip,3Q,6:38,13-0,N
08/30/24,Elon,FB,The Whip,3Q,6:18,19-0,N
08/30/24,Elon,FB,That's What I Want,4Q,15:00,19-0,Y
08/30/24,Elon,FB,Runaway Baby,4Q,12:18,19-0,Y
08/30/24,Elon,FB,Raise Your Glass,4Q,9:51,19-0,N
08/30/24,Elon,FB,Fight Fight (Intro),4Q,8:58,19-0,N
08/30/24,Elon,FB,Fight Fight (Intro),4Q,7:32,19-0,N
08/30/24,Elon,FB,Fight Fight (Intro),4Q,6:47,19-0,N
08/30/24,Elon,FB,Fight Fight (Intro),4Q,6:05,19-0,N
08/30/24,Elon,FB,The Whip,4Q,4:06,25-0,N
08/30/24,Elon,FB,Blue & White,4Q,4:06,26-0,N
08/30/24,Elon,FB,Everytime,4Q,2:00,26-0,N
08/30/24,Elon,FB,Pumpkin,4Q,2:00,26-0,N
08/30/24,Elon,FB,Devil,Postgame,n/a,26-3,N
08/30/24,Elon,FB,Dear Old Duke,Postgame,n/a,26-3,N
