Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
12/04/24,Auburn,MBB,Overpass,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Break Your Heart,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,DJamite,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Fat,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Animal,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Can't,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,That That,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Dance the Night,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Can't,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Devil,Pregame,n/a,n/a,0-0,N
12/04/24,Auburn,MBB,Mortal,Pregame,n/a,n/a,0-0,Y
12/04/24,Auburn,MBB,Zing It!,1H,<16:00,16:18,2-13,N
12/04/24,Auburn,MBB,Fight Fight,1H,<12:00,11:37,10-15,N
12/04/24,Auburn,MBB,Blue & White,1H,<12:00,11:37,10-15,N
12/04/24,Auburn,MBB,Fire,1H,<8:00,7:39,21-22,Y
12/04/24,Auburn,MBB,Spell,1H,<4:00,3:55,32-32,N
12/04/24,Auburn,MBB,Sail,1H,<4:00,3:55,32-32,N
12/04/24,Auburn,MBB,Blue & White,Halftime,n/a,n/a,43-36,N
12/04/24,Auburn,MBB,Can't,Halftime,n/a,n/a,43-36,N
12/04/24,Auburn,MBB,Seven Nation,Halftime,n/a,n/a,43-36,N
12/04/24,Auburn,MBB,Wipeout,2H,<16:00,16:18,54-42,N
12/04/24,Auburn,MBB,D. Ditty,2H,<16:00,16:18,54-42,N
12/04/24,Auburn,MBB,Zing It!,2H,<12:00,11:48,58-53,N
12/04/24,Auburn,MBB,T. gogo,2H,<12:00,11:48,58-53,N
12/04/24,Auburn,MBB,HOT TO GO!,2H,n/a,9:19,63-56,N
12/04/24,Auburn,MBB,Runaway Baby,2H,<8:00,7:52,66-61,N
12/04/24,Auburn,MBB,Everytime,2H,<4:00,3:52,73-68,N
12/04/24,Auburn,MBB,Pumpkin,2H,<4:00,3:52,73-68,N
12/04/24,Auburn,MBB,Industry Baby,2H,n/a,2:51,77-72,N
12/04/24,Auburn,MBB,Fight Fight,2H,n/a,0:15,81-76,N
12/04/24,Auburn,MBB,Blue & White,2H,n/a,0:15,81-76,N
12/04/24,Auburn,MBB,Devil,Postgame,n/a,n/a,84-78,N
12/04/24,Auburn,MBB,Dear Old Duke,Postgame,n/a,n/a,84-78,N
12/10/24,Incarnate Word,MBB,DJamite,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Fat,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Igor's Theme,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Overpass,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Can't,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Devil,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Mortal,Pregame,n/a,n/a,0-0,N
12/10/24,Incarnate Word,MBB,Fight Fight,1H,<16:00,13:03,10-5,N
12/10/24,Incarnate Word,MBB,Blue & White,1H,<16:00,13:03,10-5,N
12/10/24,Incarnate Word,MBB,HOT TO GO!,1H,<12:00,11:57,10-8,N
12/10/24,Incarnate Word,MBB,Uptown Funk,1H,<8:00,7:31,12-10,N
12/10/24,Incarnate Word,MBB,Sail,1H,<4:00,3:16,24-14,N
12/10/24,Incarnate Word,MBB,Blue & White,Halftime,n/a,n/a,28-21,N
12/10/24,Incarnate Word,MBB,Can't,Halftime,n/a,n/a,28-21,N
12/10/24,Incarnate Word,MBB,That's What I Want,Halftime,n/a,n/a,28-21,Y
12/10/24,Incarnate Word,MBB,Wipeout,2H,n/a,18:24,35-21,N
12/10/24,Incarnate Word,MBB,D. Ditty,2H,n/a,18:24,35-21,N
12/10/24,Incarnate Word,MBB,Zing It!,2H,<16:00,15:45,37-21,N
12/10/24,Incarnate Word,MBB,Spell,2H,<12:00,11:39,43-25,N
12/10/24,Incarnate Word,MBB,Sail,2H,<12:00,11:39,43-25,N
12/10/24,Incarnate Word,MBB,Stacy's Mom,2H,<8:00,7:58,54-30,N
12/10/24,Incarnate Word,MBB,Everytime,2H,<4:00,2:58,70-41,N
12/10/24,Incarnate Word,MBB,Pumpkin,2H,<4:00,2:58,70-41,N
12/10/24,Incarnate Word,MBB,Devil,Postgame,n/a,n/a,72-46,N
12/10/24,Incarnate Word,MBB,Dear Old Duke,Postgame,n/a,n/a,72-46,N
