Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
01/02/25,Ole Miss,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Blue & White,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Everytime,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Blue & White,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Zing It!,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Devil,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Everytime,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Blue & White,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Blue & White,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Devil,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,The Whip,Pregame,n/a,n/a,0-0,N
01/02/25,Ole Miss,FB,Devil,1Q,n/a,9:45,0-0,Y
01/02/25,Ole Miss,FB,Overpass,1Q,n/a,9:15,0-0,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),1Q,n/a,1:43,0-14,N
01/02/25,Ole Miss,FB,That's What I Want,2Q,n/a,15:00,0-14,Y
01/02/25,Ole Miss,FB,Fight Fight (Intro),2Q,n/a,9:33,0-17,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),2Q,n/a,8:03,0-17,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),2Q,n/a,6:39,0-17,N
01/02/25,Ole Miss,FB,The Whip,2Q,n/a,5:53,6-17,N
01/02/25,Ole Miss,FB,Locked Out of Heaven,Halftime,n/a,n/a,7-24,N
01/02/25,Ole Miss,FB,Bad Romance,Halftime,n/a,n/a,7-24,N
01/02/25,Ole Miss,FB,Fight Fight (Post-Intro),Halftime,n/a,n/a,7-24,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),3Q,n/a,10:10,7-24,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),3Q,n/a,7:31,7-31,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),3Q,n/a,5:31,7-31,N
01/02/25,Ole Miss,FB,Uptown Funk,3Q,n/a,3:22,7-31,Y
01/02/25,Ole Miss,FB,Fight Fight (Intro),3Q,n/a,1:00,7-38,Y
01/02/25,Ole Miss,FB,Runaway Baby,4Q,n/a,15:00,7-38,N
01/02/25,Ole Miss,FB,Uma Thurman,4Q,n/a,11:37,7-38,N
01/02/25,Ole Miss,FB,Pumpkin,4Q,n/a,11:22,7-38,Y
01/02/25,Ole Miss,FB,Fight Fight (Intro),4Q,n/a,9:44,7-45,N
01/02/25,Ole Miss,FB,Fight Fight (Intro),4Q,n/a,7:07,7-45,N
01/02/25,Ole Miss,FB,The Whip,4Q,n/a,3:43,13-45,N
01/02/25,Ole Miss,FB,Blue & White,4Q,n/a,3:43,14-45,N
01/02/25,Ole Miss,FB,Pumpkin,4Q,n/a,3:43,14-45,Y
01/02/25,Ole Miss,FB,Dance the Night,4Q,n/a,2:00,14-45,N
01/02/25,Ole Miss,FB,The Whip,4Q,n/a,1:07,20-52,N
01/02/25,Ole Miss,FB,Blue & White,Postgame,n/a,n/a,20-52,N
01/02/25,Ole Miss,FB,Dear Old Duke,Postgame,n/a,n/a,20-52,N
