Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
10/18/24,Florida State,FB,Fight Fight,Devil Walk,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Blue & White,Devil Walk,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Zing It!,Devil Walk,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Devil,Devil Walk,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Fight Fight,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Blue & White,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Zing It!,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,FSU Fight Song,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Devil,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Star Spangled Banner,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Dear Old Duke,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,The Whip,Pregame,n/a,n/a,0-0,N
10/18/24,Florida State,FB,Uptown Funk,1Q,n/a,6:53,0-3,N
10/18/24,Florida State,FB,The Whip,1Q,n/a,1:38,6-3,N
10/18/24,Florida State,FB,Blue & White,1Q,n/a,1:38,7-3,N
10/18/24,Florida State,FB,Devil,1Q,n/a,1:26,7-3,N
10/18/24,Florida State,FB,Fight Fight (Intro),1Q,n/a,0:11,7-3,N
10/18/24,Florida State,FB,Fight Fight (Intro),2Q,n/a,13:36,7-3,N
10/18/24,Florida State,FB,The Whip,2Q,n/a,11:43,13-3,N
10/18/24,Florida State,FB,Blue & White,2Q,n/a,11:43,14-3,N
10/18/24,Florida State,FB,Devil,2Q,n/a,11:29,14-3,Y
10/18/24,Florida State,FB,Blue & White,2Q,n/a,10:00,17-3,N
10/18/24,Florida State,FB,That's What I Want,2Q,n/a,7:11,17-3,Y
10/18/24,Florida State,FB,Freedom,Halftime,n/a,n/a,17-6,N
10/18/24,Florida State,FB,Please Please Please,Halftime,n/a,n/a,17-6,N
10/18/24,Florida State,FB,HOT TO GO!,Halftime,n/a,n/a,17-6,N
10/18/24,Florida State,FB,Fight Fight (Post-Intro),Halftime,n/a,n/a,17-6,N
10/18/24,Florida State,FB,Fight Fight (Intro),3Q,n/a,13:21,17-13,N
10/18/24,Florida State,FB,Fight Fight (Intro),3Q,n/a,12:00,17-13,N
10/18/24,Florida State,FB,Fight Fight (Intro),3Q,n/a,11:28,17-13,N
10/18/24,Florida State,FB,Blue & White,3Q,n/a,9:32,20-13,N
10/18/24,Florida State,FB,Uma Thurman,3Q,n/a,7:58,20-13,Y
10/18/24,Florida State,FB,Fight Fight (Intro),3Q,n/a,3:33,20-13,N
10/18/24,Florida State,FB,Runaway Baby,4Q,n/a,11:35,20-16,Y
10/18/24,Florida State,FB,Fight Fight (Intro),4Q,n/a,11:19,20-16,Y
10/18/24,Florida State,FB,Blue & White,4Q,n/a,8:58,23-16,N
10/18/24,Florida State,FB,Pumpkin,4Q,n/a,8:40,23-16,Y
