Date,Opponent,Type,Song,Period,Time,Score (Duke-Opponent),Early? (Y/N)
09/14/24,UConn,FB,Fight Fight,Devil Walk,n/a,0-0,N
09/14/24,UConn,FB,Blue & White,Devil Walk,n/a,0-0,N
09/14/24,UConn,FB,Zing It!,Devil Walk,n/a,0-0,N
09/14/24,UConn,FB,Devil,Devil Walk,n/a,0-0,N
09/14/24,UConn,FB,Fight Fight,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Blue & White,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Zing It!,Pregame,n/a,0-0,N
09/14/24,UConn,FB,UConn Husky,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Devil,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Star Spangled Banner,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Dear Old Duke,Pregame,n/a,0-0,N
09/14/24,UConn,FB,The Whip,Pregame,n/a,0-0,N
09/14/24,UConn,FB,Fight Fight (Intro),1Q,12:34,0-0,N
09/14/24,UConn,FB,Fight Fight (Intro),1Q,11:12,0-0,N
09/14/24,UConn,FB,Fight Fight (Intro),1Q,10:26,0-0,N
09/14/24,UConn,FB,The Whip,1Q,9:34,6-0,N
09/14/24,UConn,FB,Blue & White,1Q,9:34,7-0,N
09/14/24,UConn,FB,Fight Fight (Intro),1Q,5:54,7-0,N
09/14/24,UConn,FB,Overpass,1Q,4:23,7-0,N
09/14/24,UConn,FB,Applause,2Q,13:38,7-0,Y
09/14/24,UConn,FB,Devil,2Q,12:50,7-0,Y
09/14/24,UConn,FB,Blue & White,2Q,12:10,10-0,N
09/14/24,UConn,FB,Fight Fight (Intro),2Q,10:22,10-0,N
09/14/24,UConn,FB,Fight Fight (Intro),2Q,9:49,10-0,N
09/14/24,UConn,FB,The Whip,2Q,8:27,16-0,N
09/14/24,UConn,FB,Blue & White,2Q,8:27,17-0,N
09/14/24,UConn,FB,Fight Fight (Intro),2Q,4:49,17-0,N
09/14/24,UConn,FB,Freedom,Halftime,n/a,17-7,N
09/14/24,UConn,FB,Please Please Please,Halftime,n/a,17-7,N
09/14/24,UConn,FB,HOT TO GO!,Halftime,n/a,17-7,N
09/14/24,UConn,FB,Fight Fight (Post-Intro),Halftime,n/a,17-7,N
09/14/24,UConn,FB,Fight Fight (Intro),3Q,11:04,17-14,N
09/14/24,UConn,FB,Uma Thurman,3Q,8:21,17-21,Y
09/14/24,UConn,FB,Fight Fight (Intro),3Q,7:27,17-21,N
09/14/24,UConn,FB,Fight Fight (Intro),3Q,3:12,17-21,N
09/14/24,UConn,FB,Fight Fight (Intro),3Q,1:56,17-21,N
09/14/24,UConn,FB,Runaway Baby,4Q,15:00,17-21,Y
09/14/24,UConn,FB,Blue & White,4Q,14:56,20-21,Y
09/14/24,UConn,FB,Devil,4Q,14:06,20-21,Y
09/14/24,UConn,FB,Fight Fight (Intro),4Q,13:59,20-21,N
09/14/24,UConn,FB,Fight Fight (Intro),4Q,12:59,20-21,N
09/14/24,UConn,FB,The Whip,4Q,11:49,26-21,N
09/14/24,UConn,FB,Fight Fight (Intro),4Q,4:56,26-21,N
09/14/24,UConn,FB,Fight Fight (Intro),4Q,2:47,26-21,N
09/14/24,UConn,FB,Everytime,4Q,2:00,26-21,N
09/14/24,UConn,FB,Pumpkin,4Q,2:00,26-21,Y
09/14/24,UConn,FB,Fight Fight (Intro),4Q,1:53,26-21,N
09/14/24,UConn,FB,Devil,Postgame,n/a,26-21,N
09/14/24,UConn,FB,Dear Old Duke,Postgame,n/a,26-21,N
09/28/24,UNC,FB,Fight Fight,Devil Walk,n/a,0-0,N
09/28/24,UNC,FB,Blue & White,Devil Walk,n/a,0-0,N
09/28/24,UNC,FB,Zing It!,Devil Walk,n/a,0-0,N
09/28/24,UNC,FB,Devil,Devil Walk,n/a,0-0,N
09/28/24,UNC,FB,Fight Fight,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Blue & White,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Zing It!,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Devil,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Star Spangled Banner,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Dear Old Duke,Pregame,n/a,0-0,N
09/28/24,UNC,FB,The Whip,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Million Dollar Baby,Pregame,n/a,0-0,N
09/28/24,UNC,FB,Fight Fight (Intro),Pregame,n/a,0-0,N
09/28/24,UNC,FB,Million Dollar Baby,1Q,10:19,0-3,Y
09/28/24,UNC,FB,Fight Fight (Intro),1Q,4:21,0-10,N
09/28/24,UNC,FB,Fight Fight (Intro),2Q,14:31,0-10,N
09/28/24,UNC,FB,Uma Thurman,2Q,10:03,0-10,Y
09/28/24,UNC,FB,Freedom,Halftime,n/a,0-17,N
09/28/24,UNC,FB,Please Please Please,Halftime,n/a,0-17,N
09/28/24,UNC,FB,HOT TO GO!,Halftime,n/a,0-17,N
09/28/24,UNC,FB,Everytime,Halftime,n/a,0-17,N
09/28/24,UNC,FB,That That,3Q,8:23,0-20,Y
09/28/24,UNC,FB,Fight Fight (Intro),3Q,7:45,0-20,N
09/28/24,UNC,FB,Fight Fight (Intro),3Q,6:56,0-20,N
09/28/24,UNC,FB,Fight Fight (Intro),3Q,6:31,0-20,N
09/28/24,UNC,FB,The Whip,3Q,5:49,7-20,N
09/28/24,UNC,FB,Blue & White,3Q,5:49,7-20,N
09/28/24,UNC,FB,Fight Fight (Intro),3Q,2:43,7-20,N
09/28/24,UNC,FB,Fight Fight (Intro),3Q,2:26,7-20,N
09/28/24,UNC,FB,Fight Fight (Intro),3Q,0:05,7-20,N
09/28/24,UNC,FB,The Whip,4Q,14:21,14-20,N
09/28/24,UNC,FB,Blue & White,4Q,14:21,14-20,N
09/28/24,UNC,FB,Uptown Funk,4Q,14:21,14-20,Y
09/28/24,UNC,FB,Fight Fight (Intro),4Q,11:21,14-20,N
09/28/24,UNC,FB,Fight Fight (Intro),4Q,10:25,14-20,N
09/28/24,UNC,FB,Fight Fight (Intro),4Q,6:35,14-20,N
09/28/24,UNC,FB,The Whip,4Q,5:42,21-20,N
09/28/24,UNC,FB,Blue & White,4Q,5:42,21-20,N
09/28/24,UNC,FB,Fight Fight (Intro),4Q,2:55,21-20,N
09/28/24,UNC,FB,Fight Fight (Intro),4Q,2:00,21-20,N
09/28/24,UNC,FB,Everytime,4Q,2:00,21-20,N
09/28/24,UNC,FB,Pumpkin,4Q,2:00,21-20,Y
09/28/24,UNC,FB,Devil,4Q,0:26,21-20,N
09/28/24,UNC,FB,Everytime,4Q,0:01,21-20,N
09/28/24,UNC,FB,Dear Old Duke,Postgame,n/a,21-20,N
