Date,Opponent,Type,Song,Period,Time,Score (Duke-Opponent),Early? (Y/N),Event,Media
01/01/25,,,Fight Fight,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Blue & White,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Zing It!,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Devil,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Everytime,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Fight Fight,,,,N,Gator Bowl Pep Rally,
01/01/25,,,Blue & White,,,,N,Gator Bowl Pep Rally,
01/02/25,Ole Miss,FB,Dear Old Duke,Postgame,,20-52,N,,
01/02/25,Ole Miss,FB,ffs,3Q,5:31,7-31,N,,
01/02/25,Ole Miss,FB,ffs,3Q,7:31,7-31,N,,
01/02/25,Ole Miss,FB,ffs,3Q,10:10,7-24,N,,
01/02/25,Ole Miss,FB,The Whip,2Q,5:53,6-17,N,,
01/02/25,Ole Miss,FB,Bad Romance,Halftime,,7-24,N,,
01/02/25,Ole Miss,FB,Locked Out of Heaven,Halftime,,7-24,N,,
01/02/25,Ole Miss,FB,Uptown Funk,3Q,3:22,7-31,Y,,
01/02/25,Ole Miss,FB,ffl,Halftime,,7-24,N,,
01/02/25,Ole Miss,FB,ffs,3Q,1:00,7-38,Y,,
01/02/25,Ole Miss,FB,ffs,4Q,9:44,7-45,N,,
01/02/25,Ole Miss,FB,Uma Thurman,4Q,11:37,7-38,N,,
01/02/25,Ole Miss,FB,Pumpkin,4Q,11:22,7-38,Y,,
01/02/25,Ole Miss,FB,The Whip,4Q,1:07,20-52,N,,
01/02/25,Ole Miss,FB,ffs,4Q,7:07,7-45,N,,
01/02/25,Ole Miss,FB,The Whip,4Q,3:43,13-45,N,,
01/02/25,Ole Miss,FB,Blue & White,4Q,3:43,14-45,N,,
01/02/25,Ole Miss,FB,Pumpkin,4Q,3:43,14-45,Y,,
01/02/25,Ole Miss,FB,Dance the Night,4Q,2:00,14-45,N,,
01/02/25,Ole Miss,FB,Runaway Baby,4Q,15:00,7-38,N,,
01/02/25,Ole Miss,FB,ffs,2Q,8:03,0-17,N,,
01/02/25,Ole Miss,FB,ffs,2Q,6:39,0-17,N,,
01/02/25,Ole Miss,FB,That's What I Want,2Q,15:00,0-14,Y,,
01/02/25,Ole Miss,FB,Fight Fight,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Blue & White,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Everytime,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Fight Fight,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Blue & White,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Zing It!,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Devil,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Everytime,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Fight Fight,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,Blue & White,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,ffs,2Q,9:33,0-17,N,,
01/02/25,Ole Miss,FB,Blue & White,Postgame,,20-52,N,,
01/02/25,Ole Miss,FB,Blue & White,Pregame,,0-0,N,,
01/02/25,Ole Miss,FB,ffs,1Q,1:43,0-14,N,,
01/02/25,Ole Miss,FB,Overpass,1Q,9:15,0-0,N,,
01/02/25,Ole Miss,FB,Devil,1Q,9:45,0-0,Y,,
01/02/25,Ole Miss,FB,The Whip,Pregame,,0-0,N,,
