Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
02/07/24,Notre Dame,MBB,Overpass,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,About Damn Time,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Animal,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Vehicle,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Love from the Other Side,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Ms. Jackson,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,That's What I Want,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Devil,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Mortal,Pregame,n/a,n/a,0-0,N
02/07/24,Notre Dame,MBB,Fight Fight,1H,<16:00,15:19,9-5,N
02/07/24,Notre Dame,MBB,Blue & White,1H,<16:00,15:19,9-5,N
02/07/24,Notre Dame,MBB,Fire,1H,<16:00,15:19,9-5,N
02/07/24,Notre Dame,MBB,Runaway Baby,1H,<12:00,11:40,15-5,Y
02/07/24,Notre Dame,MBB,Dance the Night,1H,<8:00,8:00,22-13,Y
02/07/24,Notre Dame,MBB,Spell,1H,<4:00,3:36,26-17,N
02/07/24,Notre Dame,MBB,Sail,1H,<4:00,3:36,26-17,N
02/07/24,Notre Dame,MBB,Wipeout,2H,<16:00,14:47,44-33,N
02/07/24,Notre Dame,MBB,D. Ditty,2H,<16:00,14:47,44-33,N
02/07/24,Notre Dame,MBB,Chameleon,2H,<12:00,11:52,52-39,N
02/07/24,Notre Dame,MBB,Uma Thurman,2H,<8:00,9:34,56-41,Y
02/07/24,Notre Dame,MBB,Zing It!,2H,<8:00,7:54,59-41,N
02/07/24,Notre Dame,MBB,T. gogo,2H,<8:00,7:54,59-41,N
02/07/24,Notre Dame,MBB,Everytime,2H,<4:00,3:25,65-49,N
02/07/24,Notre Dame,MBB,Pumpkin,2H,<4:00,3:25,65-49,N
02/07/24,Notre Dame,MBB,Devil,Postgame,n/a,n/a,71-53,N
02/07/24,Notre Dame,MBB,Dear Old Duke,Postgame,n/a,n/a,71-53,N
02/08/24,Wake Forest,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,DJamite,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,That That,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,Lucky Strike,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,Love from the Other Side,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/08/24,Wake Forest,WBB,Mortal,Pregame,n/a,n/a,0-0,Y
02/08/24,Wake Forest,WBB,Fight Fight,1Q,<5:00,4:20,4-5,Y
02/08/24,Wake Forest,WBB,Runaway Baby,1Q-2Q Break,n/a,n/a,6-19,Y
02/08/24,Wake Forest,WBB,Spell,2Q,<5:00,2:53,15-25,N
02/08/24,Wake Forest,WBB,Blue & White,Halftime,n/a,n/a,20-27,N
02/08/24,Wake Forest,WBB,Can't,Halftime,n/a,n/a,20-27,N
02/08/24,Wake Forest,WBB,About Damn Time,Halftime,n/a,n/a,20-27,N
