Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
02/01/25,UNC,MBB,Fight Fight,Pregame,n/a,n/a,0-0,Y
02/01/25,UNC,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Everytime,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,You Belong With Me,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Since U Been Gone,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Animal,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,That That,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Potential Breakup Song,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Million Dollar Baby,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,good 4 business,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,DJamite,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Devil,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Mortal,Pregame,n/a,n/a,0-0,N
02/01/25,UNC,MBB,Fight Fight,1H,<16:00,14:51,15-6,N
02/01/25,UNC,MBB,Blue & White,1H,<16:00,14:51,15-6,N
02/01/25,UNC,MBB,Uptown Funk,1H,<12:00,11:57,25-8,N
02/01/25,UNC,MBB,Spell,1H,<8:00,7:32,34-13,N
02/01/25,UNC,MBB,Sail,1H,<4:00,2:41,40-18,N
02/01/25,UNC,MBB,Calabria,1H,<4:00,2:41,40-18,Y
02/01/25,UNC,MBB,Blue & White,Halftime,n/a,n/a,47-25,N
02/01/25,UNC,MBB,Can't,Halftime,n/a,n/a,47-25,N
02/01/25,UNC,MBB,Wipeout,2H,<16:00,15:54,60-34,N
02/01/25,UNC,MBB,D. Ditty,2H,<16:00,15:54,60-34,N
02/01/25,UNC,MBB,Zing It!,2H,<12:00,11:42,71-42,N
02/01/25,UNC,MBB,Stacy's Mom,2H,<8:00,7:32,77-49,Y
02/01/25,UNC,MBB,Seven Nation,2H,n/a,4:46,79-58,N
02/01/25,UNC,MBB,Not Like Us,2H,n/a,4:46,79-58,N
02/01/25,UNC,MBB,Everytime,2H,<4:00,3:31,79-62,N
02/01/25,UNC,MBB,Pumpkin,2H,<4:00,3:31,79-62,N
02/01/25,UNC,MBB,Devil,Postgame,n/a,n/a,87-70,N
02/01/25,UNC,MBB,Dear Old Duke,Postgame,n/a,n/a,87-70,N
02/06/25,Clemson,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,That That,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Lucky Strike,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Runaway Baby,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,About Damn Time,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Love from the Other Side,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Overpass,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Mortal,Pregame,n/a,n/a,0-0,N
02/06/25,Clemson,WBB,Zing It!,1Q,<5:00,4:56,4-3,N
02/06/25,Clemson,WBB,Blue & White,Halftime,n/a,n/a,32-37,N
02/06/25,Clemson,WBB,DJamite,Halftime,n/a,n/a,32-37,N
02/06/25,Clemson,WBB,Can't,Halftime,n/a,n/a,32-37,N
02/06/25,Clemson,WBB,Sail,3Q,<5:00,4:36,45-31,N
02/06/25,Clemson,WBB,Spell,3Q-4Q Break,n/a,n/a,55-39,N
02/06/25,Clemson,WBB,Wipeout,4Q,<5:00,5:34,60-44,N
02/06/25,Clemson,WBB,Not Like Us,4Q,n/a,3:36,65-47,N
02/06/25,Clemson,WBB,Devil,Postgame,n/a,n/a,74-55,N
02/06/25,Clemson,WBB,Dear Old Duke,Postgame,n/a,n/a,74-55,N
02/09/25,Miami,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Bad Romance,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Overpass,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,DJamite,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,That's What I Want,Pregame,n/a,n/a,0-0,Y
02/09/25,Miami,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Applause,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Mortal,Pregame,n/a,n/a,0-0,N
02/09/25,Miami,WBB,Zing It!,1Q,<5:00,5:49,10-6,N
02/09/25,Miami,WBB,Devil,1Q,<5:00,5:49,10-6,N
02/09/25,Miami,WBB,Locked Out of Heaven,1Q-2Q Break,n/a,n/a,20-10,Y
02/09/25,Miami,WBB,Dance the Night,1Q-2Q Break,n/a,n/a,20-10,Y
02/09/25,Miami,WBB,HOT TO GO!,1Q-2Q Break,n/a,n/a,20-10,Y
02/09/25,Miami,WBB,Blue & White,Halftime,n/a,n/a,37-22,N
02/09/25,Miami,WBB,Stacy's Mom,Halftime,n/a,n/a,37-22,N
02/09/25,Miami,WBB,Can't,Halftime,n/a,n/a,37-22,N
02/09/25,Miami,WBB,That That,Halftime,n/a,n/a,37-22,N
02/09/25,Miami,WBB,Spell,3Q-4Q Break,n/a,n/a,66-38,N
02/09/25,Miami,WBB,Wipeout,4Q,<5:00,2:34,84-46,N
02/09/25,Miami,WBB,D. Ditty,4Q,<5:00,2:34,84-46,N
02/09/25,Miami,WBB,Devil,Postgame,n/a,n/a,90-49,N
02/09/25,Miami,WBB,Dear Old Duke,Postgame,n/a,n/a,90-49,N
02/15/25,Stanford,MBB,That That,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Fight Fight,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Get It On,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Million Dollar Baby,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Overpass,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,You Belong With Me,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Bad Romance,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,DJamite,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Devil,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Mortal,Pregame,n/a,n/a,0-0,N
02/15/25,Stanford,MBB,Fight Fight,Pregame,n/a,n/a,0-0,Y
02/15/25,Stanford,MBB,Fight Fight,1H,<16:00,15:18,11-10,N
02/15/25,Stanford,MBB,Blue & White,1H,<16:00,15:18,11-10,N
02/15/25,Stanford,MBB,Seven Nation,1H,<12:00,10:20,26-17,N
02/15/25,Stanford,MBB,Spell,1H,<8:00,7:27,35-20,N
02/15/25,Stanford,MBB,Sail,1H,<4:00,3:51,42-35,N
02/15/25,Stanford,MBB,Blue & White,Halftime,n/a,n/a,49-34,N
02/15/25,Stanford,MBB,Can't,Halftime,n/a,n/a,49-34,N
02/15/25,Stanford,MBB,Wipeout,2H,<16:00,15:44,63-41,N
02/15/25,Stanford,MBB,D. Ditty,2H,<16:00,15:44,63-41,N
02/15/25,Stanford,MBB,Zing It!,2H,<12:00,11:07,73-48,N
02/15/25,Stanford,MBB,T. gogo,2H,<12:00,11:07,73-48,N
