Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
03/01/25,Florida State,MBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,DJamite,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,You Belong With Me,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Can't,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,That That,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Devil,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Mortal,Pregame,n/a,n/a,0-0,N
03/01/25,Florida State,MBB,Fight Fight,1H,<16:00,16:00,9-4,N
03/01/25,Florida State,MBB,Blue & White,1H,<16:00,16:00,9-4,N
03/01/25,Florida State,MBB,Devil,1H,<12:00,11:34,14-9,N
03/01/25,Florida State,MBB,Spell,1H,<8:00,7:52,27-14,N
03/01/25,Florida State,MBB,Sail,1H,<8:00,7:52,27-14,N
03/01/25,Florida State,MBB,Seven Nation,1H,n/a,4:46,35-21,N
03/01/25,Florida State,MBB,Not Like Us,1H,<4:00,3:02,41-23,N
03/01/25,Florida State,MBB,Blue & White,Halftime,n/a,n/a,47-30,N
03/01/25,Florida State,MBB,Can't,Halftime,n/a,n/a,47-30,N
03/01/25,Florida State,MBB,Lucky Strike,Halftime,n/a,n/a,47-30,N
03/01/25,Florida State,MBB,Wipeout,2H,<16:00,15:57,61-35,N
03/01/25,Florida State,MBB,D. Ditty,2H,<16:00,15:57,61-35,N
03/01/25,Florida State,MBB,Zing It!,2H,<12:00,11:47,72-47,N
03/01/25,Florida State,MBB,T. gogo,2H,<12:00,11:47,72-47,N
03/01/25,Florida State,MBB,Uptown Funk,2H,<8:00,7:41,85-53,N
03/01/25,Florida State,MBB,Stacy's Mom,2H,n/a,6:17,87-55,N
03/01/25,Florida State,MBB,Fire,2H,n/a,6:17,87-55,Y
03/01/25,Florida State,MBB,Everytime,2H,<4:00,3:59,90-64,N
03/01/25,Florida State,MBB,Pumpkin,2H,<4:00,3:59,90-64,N
03/01/25,Florida State,MBB,Devil,Postgame,n/a,n/a,100-65,N
03/01/25,Florida State,MBB,Dear Old Duke,Postgame,n/a,n/a,100-65,N
03/13/25,Georgia Tech,MBB,Break Your Heart,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Overpass,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,That That,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Uptown Funk,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Can't,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Fight Fight,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Star Spangled Banner,Pregame,n/a,n/a,0-0,N
03/13/25,Georgia Tech,MBB,Fight Fight,1H,<16:00,14:36,6-9,N
03/13/25,Georgia Tech,MBB,Blue & White,1H,<16:00,14:36,6-9,N
03/13/25,Georgia Tech,MBB,Applause,1H,<8:00,7:38,12-23,Y
03/13/25,Georgia Tech,MBB,Fight Fight,1H,<4:00,3:42,17-26,N
